Experiment;Learning Rate;Hidden 1;Dropout;Early Stopping;Epochs;Weight Decay;Max Degree;Model
0;0.02;200;0.5;10;10000;0;3;ES10
1;0.02;200;0.5;100;10000;0;3;ES100
2;0.02;200;0.5;1000;10000;0;3;ES1000
3;0.1;200;0.5;10;10000;0;3;LR01
4;0.01;200;0.5;10;10000;0;3;LR001
5;0.001;200;0.5;10;10000;0;3;LR0001
6;0.0001;200;0.5;10;10000;0;3;LR00001
7;0.02;200;0.1;10;10000;0;3;DO01
8;0.02;200;0.2;10;10000;0;3;DO02
9;0.02;200;0.3;10;10000;0;3;DO03
10;0.02;200;0.4;10;10000;0;3;DO04
11;0.02;200;0.5;10;10000;0;3;DO05
12;0.02;200;0.6;10;10000;0;3;DO06
13;0.02;200;0.7;10;10000;0;3;DO07
14;0.02;200;0.8;10;10000;0;3;DO08
15;0.02;200;0.9;10;10000;0;3;DO09
16;0.02;50;0.5;10;10000;0;3;HD50
17;0.02;350;0.5;10;10000;0;3;HD350
18;0.02;500;0.5;10;10000;0;3;HD500
19;0.01;200;0.9;5;10000;0;3;EXP1
20;0.1;200;0.5;5;10000;0;3;EXP2
21;0.02;200;0.9;10;10000;0;3;EXP3
22;0.02;200;0.9;10;10000;0;3;EXP4
23;0.02;200;0.1;10;10000;0;3;EXP5
24;0.02;200;0.1;10;10000;0;3;EXP6
