experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.20947;0.20947;0.20947;0.20947;0.0;0.0;16;16;16.0;16.0;0.0;0.0
1;ES100;0.18026;0.18026;0.18026;0.18026;0.0;0.0;102;102;102.0;102.0;0.0;0.0
2;ES1000;0.17623;0.17623;0.17623;0.17623;0.0;0.0;1002;1002;1002.0;1002.0;0.0;0.0
3;LR01;0.21752;0.21752;0.21752;0.21752;0.0;0.0;16;16;16.0;16.0;0.0;0.0
4;LR001;0.20242;0.20242;0.20242;0.20242;0.0;0.0;16;16;16.0;16.0;0.0;0.0
5;LR0001;0.19134;0.19134;0.19134;0.19134;0.0;0.0;17;17;17.0;17.0;0.0;0.0
6;LR00001;0.20544;0.20544;0.20544;0.20544;0.0;0.0;59;59;59.0;59.0;0.0;0.0
7;DO01;0.19436;0.19436;0.19436;0.19436;0.0;0.0;16;16;16.0;16.0;0.0;0.0
8;DO02;0.18933;0.18933;0.18933;0.18933;0.0;0.0;13;13;13.0;13.0;0.0;0.0
9;DO03;0.19335;0.19335;0.19335;0.19335;0.0;0.0;17;17;17.0;17.0;0.0;0.0
10;DO04;0.19637;0.19637;0.19637;0.19637;0.0;0.0;14;14;14.0;14.0;0.0;0.0
11;DO05;0.20443;0.20443;0.20443;0.20443;0.0;0.0;12;12;12.0;12.0;0.0;0.0
12;DO06;0.20342;0.20342;0.20342;0.20342;0.0;0.0;16;16;16.0;16.0;0.0;0.0
13;DO07;0.19738;0.19738;0.19738;0.19738;0.0;0.0;12;12;12.0;12.0;0.0;0.0
14;DO08;0.20141;0.20141;0.20141;0.20141;0.0;0.0;15;15;15.0;15.0;0.0;0.0
15;DO09;0.19134;0.19134;0.19134;0.19134;0.0;0.0;12;12;12.0;12.0;0.0;0.0
16;HD50;0.19738;0.19738;0.19738;0.19738;0.0;0.0;12;12;12.0;12.0;0.0;0.0
17;HD350;0.19134;0.19134;0.19134;0.19134;0.0;0.0;15;15;15.0;15.0;0.0;0.0
18;HD500;0.1994;0.1994;0.1994;0.1994;0.0;0.0;13;13;13.0;13.0;0.0;0.0
