experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.27833;0.27833;0.27833;0.27833;0.0;0.0;12;12;12.0;12.0;0.0;0.0
1;ES100;0.18227;0.18227;0.18227;0.18227;0.0;0.0;102;102;102.0;102.0;0.0;0.0
2;ES1000;0.18596;0.18596;0.18596;0.18596;0.0;0.0;1002;1002;1002.0;1002.0;0.0;0.0
3;LR01;0.25246;0.25246;0.25246;0.25246;0.0;0.0;25;25;25.0;25.0;0.0;0.0
4;LR001;0.28695;0.28695;0.28695;0.28695;0.0;0.0;12;12;12.0;12.0;0.0;0.0
5;LR0001;0.28695;0.28695;0.28695;0.28695;0.0;0.0;63;63;63.0;63.0;0.0;0.0
6;LR00001;0.28448;0.28448;0.28448;0.28448;0.0;0.0;721;721;721.0;721.0;0.0;0.0
7;DO01;0.27094;0.27094;0.27094;0.27094;0.0;0.0;12;12;12.0;12.0;0.0;0.0
8;DO02;0.27463;0.27463;0.27463;0.27463;0.0;0.0;13;13;13.0;13.0;0.0;0.0
9;DO03;0.2734;0.2734;0.2734;0.2734;0.0;0.0;12;12;12.0;12.0;0.0;0.0
10;DO04;0.28818;0.28818;0.28818;0.28818;0.0;0.0;12;12;12.0;12.0;0.0;0.0
11;DO05;0.28571;0.28571;0.28571;0.28571;0.0;0.0;13;13;13.0;13.0;0.0;0.0
12;DO06;0.2734;0.2734;0.2734;0.2734;0.0;0.0;13;13;13.0;13.0;0.0;0.0
13;DO07;0.26355;0.26355;0.26355;0.26355;0.0;0.0;12;12;12.0;12.0;0.0;0.0
14;DO08;0.27709;0.27709;0.27709;0.27709;0.0;0.0;12;12;12.0;12.0;0.0;0.0
15;DO09;0.25739;0.25739;0.25739;0.25739;0.0;0.0;12;12;12.0;12.0;0.0;0.0
16;HD50;0.27833;0.27833;0.27833;0.27833;0.0;0.0;12;12;12.0;12.0;0.0;0.0
17;HD350;0.28571;0.28571;0.28571;0.28571;0.0;0.0;12;12;12.0;12.0;0.0;0.0
18;HD500;0.2697;0.2697;0.2697;0.2697;0.0;0.0;12;12;12.0;12.0;0.0;0.0
