experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.7583;0.76083;0.7592830000000002;0.759;6.846210000000091e-07;0.0008274182739098824;18;18;18.0;18.0;0.0;0.0
1;ES100;0.72116;0.7251;0.723522;0.72383;1.2071759999999585e-06;0.0010987156137963812;102;102;102.0;102.0;0.0;0.0
2;ES1000;0.70934;0.71244;0.7110290000000001;0.71131;1.1575690000000175e-06;0.001075903806109086;1002;1002;1002.0;1002.0;0.0;0.0
3;LR01;0.74648;0.75605;0.7523070000000001;0.7515499999999999;7.896640999999983e-06;0.0028100962616963822;12;12;12.0;12.0;0.0;0.0
4;LR001;0.75774;0.76111;0.759171;0.759;1.2389089999999675e-06;0.001113062891304875;29;30;29.1;29.0;0.08999999999999998;0.3
5;LR0001;0.7583;0.76168;0.7601570000000001;0.76055;9.067809999999846e-07;0.0009522504922550497;191;192;191.3;191.0;0.21000000000000002;0.45825756949558405
6;LR00001;0.75914;0.7614;0.76058;0.7608299999999999;6.263399999999641e-07;0.0007914164516864456;1794;1808;1803.2;1805.5;23.360000000000003;4.833218389437829
7;DO01;0.75324;0.75774;0.7565280000000001;0.75703;1.5025159999999795e-06;0.0012257715937318745;17;18;17.9;18.0;0.09;0.3
8;DO02;0.75633;0.75858;0.757344;0.75718;5.258640000000351e-07;0.0007251648088538461;18;18;18.0;18.0;0.0;0.0
9;DO03;0.75689;0.75943;0.758131;0.75802;5.275490000000264e-07;0.0007263256845245295;18;18;18.0;18.0;0.0;0.0
10;DO04;0.75689;0.76027;0.758637;0.7588600000000001;8.989410000000291e-07;0.000948124991760068;18;18;18.0;18.0;0.0;0.0
11;DO05;0.75774;0.76055;0.759004;0.7588600000000001;7.795439999999946e-07;0.0008829178897270089;18;19;18.1;18.0;0.08999999999999998;0.3
12;DO06;0.7583;0.76055;0.759482;0.7595700000000001;3.30535999999992e-07;0.000574922603486758;18;19;18.9;19.0;0.09;0.3
13;DO07;0.75858;0.7628;0.7603250000000001;0.76027;2.1530450000000044e-06;0.0014673257988599548;19;19;19.0;19.0;0.0;0.0
14;DO08;0.76027;0.76337;0.7612270000000001;0.76083;8.93581000000003e-07;0.0009452941341191127;20;20;20.0;20.0;0.0;0.0
15;DO09;0.75886;0.76393;0.7611990000000001;0.7608299999999999;2.537949000000014e-06;0.001593094159175789;21;22;21.5;21.5;0.25;0.5
16;HD50;0.75661;0.76083;0.7593400000000001;0.759285;1.332059999999989e-06;0.0011541490371698056;27;28;27.9;28.0;0.08999999999999998;0.3
17;HD350;0.75717;0.76027;0.758751;0.759;1.1910490000000205e-06;0.0010913519139122909;16;16;16.0;16.0;0.0;0.0
18;HD500;0.75689;0.76027;0.7588640000000001;0.759005;1.1267640000000396e-06;0.001061491403639257;14;14;14.0;14.0;0.0;0.0
