experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.67945;0.69181;0.686941;0.687365;1.0641509000000028e-05;0.00326213258467525;77;80;78.4;78.0;1.44;1.2
1;ES100;0.68217;0.68934;0.6862480000000001;0.6868650000000001;4.741395999999886e-06;0.002177474684123764;125;127;126.6;127.0;0.44000000000000006;0.66332495807108
2;ES1000;0.66832;0.67326;0.671334;0.67104;2.049383999999955e-06;0.0014315669736341206;1002;1002;1002.0;1002.0;0.0;0.0
3;LR01;0.67054;0.68439;0.678234;0.67858;2.0056404000000028e-05;0.004478437674010885;28;30;28.4;28.0;0.44000000000000006;0.66332495807108
4;LR001;0.68068;0.69058;0.6863719999999999;0.68761;1.0544615999999964e-05;0.003247247449764179;122;132;127.4;127.5;7.4399999999999995;2.727636339397171
5;LR0001;0.67351;0.67994;0.676626;0.676355;3.059083999999957e-06;0.0017490237276835204;965;1055;1014.4;1020.5;645.24;25.401574754333637
6;LR00001;0.66634;0.67549;0.671035;0.67091;6.39924499999997e-06;0.002529672903756525;8929;9684;9268.1;9234.0;54869.69;234.2428013835217
7;DO01;0.68612;0.69132;0.688598;0.688845;3.1108360000000378e-06;0.0017637562189826682;72;75;73.9;74.0;0.89;0.9433981132056604
8;DO02;0.68513;0.69206;0.6879300000000002;0.68761;3.5252799999999752e-06;0.0018775729013809225;73;77;74.5;74.5;1.65;1.284523257866513
9;DO03;0.68637;0.69107;0.688375;0.68798;2.1833849999999428e-06;0.0014776281670298326;75;78;76.1;76.0;0.8899999999999999;0.9433981132056604
10;DO04;0.68563;0.68934;0.687384;0.68711;1.4248439999999797e-06;0.0011936682956332466;75;79;76.8;77.0;2.16;1.469693845669907
11;DO05;0.68415;0.68884;0.686594;0.68674;2.634903999999968e-06;0.0016232387378324754;76;80;78.2;78.0;1.7600000000000002;1.32664991614216
12;DO06;0.6834;0.68959;0.6852590000000001;0.68427;3.5650290000000156e-06;0.0018881284384278565;78;82;79.8;80.0;1.56;1.2489995996796797
13;DO07;0.68044;0.69206;0.6861740000000001;0.6859999999999999;7.929623999999946e-06;0.0028159588065168753;81;88;82.8;82.0;4.36;2.08806130178211
14;DO08;0.6792;0.68835;0.684121;0.684885;9.851608999999985e-06;0.003138727289842172;85;89;87.2;87.5;1.3599999999999999;1.16619037896906
15;DO09;0.67771;0.68761;0.681968;0.681175;1.0748856000000052e-05;0.003278544799144897;94;107;98.7;98.5;12.810000000000002;3.5791060336346563
16;HD50;0.67475;0.68093;0.678655;0.679195;3.7480049999999694e-06;0.001935976497791223;123;140;131.3;131.5;39.21;6.261788881781308
17;HD350;0.68266;0.68983;0.687458;0.687605;4.491936000000053e-06;0.0021194187882530562;63;67;65.2;65.5;1.7599999999999998;1.3266499161421599
18;HD500;0.68612;0.69107;0.688029;0.6872400000000001;3.2940889999999643e-06;0.0018149625340485582;56;58;57.0;57.0;0.6;0.7745966692414834
