experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.9338;0.94042;0.936644;0.9371149999999999;3.7602840000000887e-06;0.0019391451724922735;120;156;131.9;130.5;102.29;10.113851887386922
1;ES100;0.93497;0.93964;0.9372679999999999;0.93731;1.738056000000056e-06;0.0013183535185981247;193;217;204.2;203.0;38.36;6.193545026880809
2;ES1000;0.93614;0.94081;0.9382780000000001;0.93847;1.5797160000000558e-06;0.0012568675347864053;1009;1015;1012.4;1012.5;4.04;2.009975124224178
3;LR01;0.92523;0.93536;0.9294;0.929325;9.955979999999923e-06;0.0031553098104623455;47;55;49.3;49.0;4.81;2.1931712199461306
4;LR001;0.92952;0.93692;0.9342690000000001;0.93497;4.882028999999975e-06;0.0022095313982833497;196;248;215.9;213.5;241.09;15.527073130503378
5;LR0001;0.91589;0.92835;0.923364;0.9246449999999999;1.487310400000005e-05;0.0038565663484503997;1444;1879;1721.0;1742.0;17616.6;132.72754047295535
6;LR00001;0.89097;0.89564;0.8935360000000001;0.89408;2.186823999999954e-06;0.0014787913984061288;10000;10000;10000.0;10000.0;0.0;0.0
7;DO01;0.93653;0.93964;0.938044;0.93808;8.891040000000373e-07;0.0009429231145751159;122;141;130.4;128.5;30.44000000000001;5.51724568965349
8;DO02;0.93419;0.94042;0.937345;0.9371149999999999;2.5568250000000744e-06;0.0015990075046728438;118;147;131.5;131.0;68.25;8.261355820929152
9;DO03;0.93497;0.93808;0.9367599999999999;0.93692;1.3651800000000548e-06;0.0011684091749040893;118;141;131.1;131.5;46.29;6.80367547726962
10;DO04;0.93419;0.94003;0.937111;0.9371149999999999;3.2477490000000908e-06;0.0018021512145211596;122;142;133.9;135.0;39.690000000000005;6.300000000000001
11;DO05;0.93302;0.94003;0.9371889999999998;0.93731;3.456789000000083e-06;0.0018592442012818227;109;152;132.6;134.5;120.24000000000001;10.96540012949824
12;DO06;0.93224;0.93847;0.93415;0.933605;3.6554400000000674e-06;0.001911920500439301;119;152;131.4;128.5;93.64;9.676776322722356
13;DO07;0.92835;0.93808;0.933957;0.9347749999999999;1.0823640999999986e-05;0.00328993024242156;119;157;135.0;135.5;122.0;11.045361017187261
14;DO08;0.92251;0.93808;0.932749;0.933605;1.697780899999986e-05;0.0041204136928225865;114;153;140.5;144.5;141.25;11.884864324004713
15;DO09;0.92017;0.93069;0.926013;0.92718;1.0621280999999953e-05;0.0032590306841145194;124;174;147.0;149.0;200.2;14.149204924659195
16;HD50;0.91199;0.9303;0.9236759999999998;0.92679;3.668424400000011e-05;0.0060567519348244826;191;280;228.2;223.0;732.76;27.06954007736371
17;HD350;0.93419;0.94003;0.9374589999999999;0.9378850000000001;3.8224890000001035e-06;0.001955118666475287;102;116;110.3;111.0;16.410000000000004;4.050925820105819
18;HD500;0.93536;0.93886;0.937421;0.937495;1.1183490000000479e-06;0.0010575202125728132;93;113;102.6;102.0;42.84000000000001;6.54522726878143
