experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.96939;0.9735;0.9716299999999999;0.97213;2.1485800000000368e-06;0.0014658035339021518;85;99;92.6;92.5;18.639999999999997;4.31740662898458
1;ES100;0.96802;0.97076;0.9693909999999999;0.96939;1.0442489999999832e-06;0.0010218850228866177;141;149;144.7;144.5;7.01;2.6476404589747453
2;ES1000;0.96437;0.96802;0.9662390000000001;0.96619;1.185409000000003e-06;0.0010887648965685855;1002;1002;1002.0;1002.0;0.0;0.0
3;LR01;0.96117;0.96711;0.964961;0.96505;2.591209000000051e-06;0.0016097232681427113;30;37;32.3;32.0;4.01;2.0024984394500787
4;LR001;0.97213;0.97442;0.97364;0.97373;5.471399999999759e-07;0.0007396891238892025;138;163;145.5;146.0;56.25;7.5
5;LR0001;0.96985;0.97213;0.9712219999999998;0.97168;5.419160000000042e-07;0.0007361494413500592;1146;1258;1198.2;1198.0;1350.56;36.74996598637882
6;LR00001;0.96939;0.97122;0.9708530000000002;0.97099;2.848410000000007e-07;0.0005337049746817063;8655;9426;9006.5;9000.5;34569.05;185.927539649187
7;DO01;0.97076;0.97396;0.972452;0.97236;1.0031360000000401e-06;0.0010015667726118115;82;90;87.3;89.0;8.41;2.9
8;DO02;0.97076;0.9735;0.972132;0.97213;6.67956000000017e-07;0.000817285751741713;86;92;88.9;88.5;5.6899999999999995;2.3853720883753127
9;DO03;0.97031;0.97396;0.9717690000000001;0.9714499999999999;1.2415290000000153e-06;0.0011142392023259706;82;93;90.2;91.0;9.560000000000002;3.0919249667480617
10;DO04;0.97031;0.9735;0.9724980000000001;0.9725900000000001;1.0717160000000164e-06;0.0010352371708937118;84;98;90.1;90.0;18.689999999999998;4.323193264243457
11;DO05;0.97031;0.97442;0.9727270000000001;0.972815;1.8369809999999863e-06;0.0013553527216189837;84;97;91.6;92.5;11.84;3.4409301068170506
12;DO06;0.97168;0.97442;0.972955;0.973275;7.408450000000007e-07;0.0008607235328489635;82;96;88.7;89.0;17.009999999999998;4.124318125460256
13;DO07;0.97122;0.9735;0.9722700000000002;0.97213;5.444000000000047e-07;0.0007378346698278719;92;105;97.7;95.0;18.21;4.267317658670374
14;DO08;0.97031;0.97442;0.9724540000000002;0.97259;1.5860840000000097e-06;0.0012593982690158065;87;106;95.3;96.0;30.810000000000002;5.550675634551167
15;DO09;0.96802;0.97487;0.9719050000000001;0.971905;3.473184999999987e-06;0.0018636483037311486;94;113;102.7;103.0;28.21;5.3113086899558
16;HD50;0.96665;0.97396;0.9714030000000001;0.9714499999999999;3.5151210000000038e-06;0.0018748655951827597;126;167;149.5;152.0;167.45;12.940247292845681
17;HD350;0.96985;0.97305;0.9714030000000001;0.97122;1.0944809999999828e-06;0.001046174459638536;73;79;76.0;75.5;4.2;2.04939015319192
18;HD500;0.96894;0.97122;0.970307;0.97031;4.996009999999812e-07;0.0007068245892723181;65;72;68.9;69.0;7.089999999999999;2.662705391138869
