experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.72906;0.72906;0.72906;0.72906;0.0;0.0;30;30;30.0;30.0;0.0;0.0
1;ES100;0.71059;0.71059;0.71059;0.71059;0.0;0.0;102;102;102.0;102.0;0.0;0.0
2;ES1000;0.69089;0.69089;0.69089;0.69089;0.0;0.0;1002;1002;1002.0;1002.0;0.0;0.0
3;LR01;0.69458;0.69458;0.69458;0.69458;0.0;0.0;27;27;27.0;27.0;0.0;0.0
4;LR001;0.7266;0.7266;0.7266;0.7266;0.0;0.0;53;53;53.0;53.0;0.0;0.0
5;LR0001;0.71552;0.71552;0.71552;0.71552;0.0;0.0;465;465;465.0;465.0;0.0;0.0
6;LR00001;0.71921;0.71921;0.71921;0.71921;0.0;0.0;4095;4095;4095.0;4095.0;0.0;0.0
7;DO01;0.72044;0.72044;0.72044;0.72044;0.0;0.0;25;25;25.0;25.0;0.0;0.0
8;DO02;0.73645;0.73645;0.73645;0.73645;0.0;0.0;32;32;32.0;32.0;0.0;0.0
9;DO03;0.71921;0.71921;0.71921;0.71921;0.0;0.0;33;33;33.0;33.0;0.0;0.0
10;DO04;0.72906;0.72906;0.72906;0.72906;0.0;0.0;35;35;35.0;35.0;0.0;0.0
11;DO05;0.71921;0.71921;0.71921;0.71921;0.0;0.0;31;31;31.0;31.0;0.0;0.0
12;DO06;0.73276;0.73276;0.73276;0.73276;0.0;0.0;25;25;25.0;25.0;0.0;0.0
13;DO07;0.71059;0.71059;0.71059;0.71059;0.0;0.0;30;30;30.0;30.0;0.0;0.0
14;DO08;0.70936;0.70936;0.70936;0.70936;0.0;0.0;33;33;33.0;33.0;0.0;0.0
15;DO09;0.73522;0.73522;0.73522;0.73522;0.0;0.0;31;31;31.0;31.0;0.0;0.0
16;HD50;0.74261;0.74261;0.74261;0.74261;0.0;0.0;26;26;26.0;26.0;0.0;0.0
17;HD350;0.7266;0.7266;0.7266;0.7266;0.0;0.0;24;24;24.0;24.0;0.0;0.0
18;HD500;0.71059;0.71059;0.71059;0.71059;0.0;0.0;29;29;29.0;29.0;0.0;0.0
